"pais","cajeros17","camas14","cto_pib16","densidad17","desempleo17","deuda16","electri16","fertil16","gasto_edu16","gasto_id16","gasto_militar17","pib16","pm2517","pobRural17","tierrasCult16"
"Barbados",NA,5.8,2.00716845878139,664.462790697674,9.48700046539307,NA,100,113.80428641183,5.09272003173828,NA,NA,4529050000,23.0801758047572,68.841,16.2790697674419
"Belarús",55.633456895362,NA,-2.52644643552361,46.792242075569,5.65000009536743,0.50063,100,146.618640458224,4.94654989242554,0.50063,1.19198531432225,47749057078.1996,18.7655799063811,21.866,28.0006679504812
"Bélgica",NA,6.2,1.48867962661147,375.90465653897,7.08599996566772,2.48835,100,318.484803654923,NA,2.48835,0.909485093747525,469738715754.105,12.8865184713072,2.039,28.0515199608343
"Belice",38.9176230672535,1.3,-0.588023649731511,16.4261727312582,9,NA,92.2143173217773,466.248860677083,7.06045007705688,NA,1.25308388957315,1806646250,23.0118921090113,54.399,3.41955282770715
"Benin",NA,NA,3.96485991037314,99.1104292302235,2.1800000667572,NA,41.4026145935059,14.747607421875,3.99468994140625,NA,1.21632173957962,8573159696.61128,38.9999587632257,53.232,23.9446612273856
"Bermudas",NA,NA,NA,1211.87034896797,NA,NA,100,177.099990165234,NA,NA,NA,NA,11.646359194991,0,5.55555567819886
"Bhután",36.5818709013975,NA,8.02210122067797,21.172662035351,2.17000007629395,NA,100,13.2532998657227,6.80557012557983,NA,NA,2219675780.89539,37.926503204094,59.833,2.62164436242134
"Bolivia",40.2254904127924,1.1,4.26391940393987,10.2017908243331,3.23300004005432,NA,93.0391311645508,7.60947450937219,NA,NA,1.75783463172498,33941126193.9219,21.5689865956858,30.92,4.11058801809286
"Bosnia y Herzegovina",51.1041688250624,NA,3.14406999762494,68.49642578125,20.4699993133545,0.21597,100,131.800031219542,NA,0.21597,0.899375541265019,16911088173.7458,27.7476689647337,52.124,20.0390625
"Botswana",32.5711555698903,NA,4.31548650431786,4.04365570906781,17.6310005187988,NA,60.6883964538574,89.5724170003595,NA,NA,3.05253547839686,15648632361.5749,23.094386181065,31.3,0.458066462166316
"Brasil",106.780645806908,2.2,-3.3054543131706,25.0400541268751,12.8269996643066,1.26578,100,186.096114898241,NA,1.26578,1.41002602405451,1796275437087.99,12.7066294740724,13.691,9.68827992830941
"Brunei Darussalam",68.4865087638488,NA,-2.4655149233665,81.346679316888,9.31599998474121,NA,100,141.8,4.42540979385376,NA,2.87922501615293,11400653949.1783,5.90306546792381,22.688,0.94876660341556
"Bulgaria",95.1288445623194,NA,3.9367581489791,65.1800571112749,6.16400003433228,0.78006,100,125.543386638301,NA,0.78006,1.55429169023427,53240950226.2443,19.1491323370921,25.331,32.2033898305085
"Burkina Faso",3.97280208288881,NA,5.93413510489553,70.15125,6.0149998664856,NA,19.1647129058838,21.7735166015625,NA,NA,1.43623029139777,10886363726.8422,42.9355925055958,71.257,21.9298245614035
"Burundi",NA,0.8,-0.600019999969277,423.0625,1.50100004673004,NA,7.58847713470459,5.42425837198894,4.61813020706177,NA,1.9831535621498,2959185295.39019,38.8962679482295,87.294,46.7289719626168
"Cabo Verde",46.9388771905902,NA,4.70579150927118,135.580148883375,12.2410001754761,NA,92.6115875244141,NA,5.36650991439819,NA,0.542081123203603,1663008687.09505,34.7787001010668,34.739,12.4069478908189
"Camboya",16.728591244419,NA,6.86309209821934,90.6717255835033,1.06200003623962,NA,49.7706565856934,17.3935973478618,NA,NA,2.08721131245126,20016747754.0192,25.6142918675755,77.02,21.5273056877408
"Camerún",NA,NA,4.64848155096477,50.8847432886971,3.35899996757507,NA,60.0747680664063,9.66752913936492,2.68755006790161,NA,1.31659418620152,32621535418.9031,72.7930962237353,44.223,13.1158638488714
"Canadá",227.823571113408,NA,1.41410274557691,4.03673422033956,6.34000015258789,1.60407,100,87.6250971073436,NA,1.60407,1.25396003770232,1526953791566.99,6.42838313258525,18.65,4.81288303416393
"Chad",1.53636200650402,NA,-6.25552708545281,11.8329050190597,2.19899988174438,0.32217,8.83089828491211,NA,NA,0.32217,2.15136271457253,10090922857.3905,66.0292054967769,77.142,3.89135959339263
"Chile",52.979852572543,NA,1.26586760300135,24.2823782179862,6.95800018310547,0.36244,100,293.844817856833,5.35063982009888,0.36244,1.91006185435294,250036180921.053,21.0362990619754,12.51,1.70779468194986
"China",NA,NA,6.69999999999993,147.674050750889,4.40000009536743,2.10826,100,503.322119428091,NA,2.10826,1.90884497782157,11190992550229.5,52.6645958291981,42.04,12.6648210894303
"Chipre",48.5203336894209,NA,4.81218762402544,127.657034632035,11.0520000457764,0.50167,100,196.738751510801,NA,0.50167,1.87958080334027,20453761061.9469,17.2944061994662,33.164,9.15909061184177
"Colombia",41.840114881998,1.5,1.96261426732217,44.2231771068049,8.87199974060059,0.26955,99.0044555664063,659.452061160075,4.52090978622437,0.26955,3.10223270495512,282856115393.175,16.5272102219124,19.554,1.52194680088863
"Comoras",4.89605072308549,NA,2.1881974557357,437.351946967305,3.69600009918213,NA,77.8442153930664,NA,NA,NA,NA,1024261820.6281,20.5468245996681,71.216,34.927457210208
"Congo, República del",NA,NA,-2.80001878768313,15.404831625183,10.1560001373291,NA,56.5661697387695,1.84409088134766,NA,NA,6.16705319118021,9035848070.90357,46.6382202758892,33.541,1.61054172767204
